activity_no,event_no,trace_length,transitions,process_entropy,process_type,statespace_size,number_of_traces
36,12,47,3.0,max_entropy,memoryless,10,100.0
31,13,47,3.0,max_entropy,memoryless,10,100.0
28,14,47,3.0,max_entropy,memoryless,10,100.0
24,15,47,3.0,max_entropy,memoryless,10,100.0
21,16,47,3.0,max_entropy,memoryless,10,100.0
20,17,47,3.0,max_entropy,memoryless,10,100.0
19,18,47,3.0,max_entropy,memoryless,10,100.0
18,19,47,3.0,max_entropy,memoryless,10,100.0
15,20,47,3.0,max_entropy,memoryless,10,100.0
15,21,47,3.0,max_entropy,memoryless,10,100.0
12,22,47,3.0,max_entropy,memoryless,10,100.0
11,25,47,3.0,max_entropy,memoryless,10,100.0
11,24,47,3.0,max_entropy,memoryless,10,100.0
11,23,47,3.0,max_entropy,memoryless,10,100.0
10,27,47,3.0,max_entropy,memoryless,10,100.0
10,26,47,3.0,max_entropy,memoryless,10,100.0
9,28,47,3.0,max_entropy,memoryless,10,100.0
8,29,47,3.0,max_entropy,memoryless,10,100.0
6,30,47,3.0,max_entropy,memoryless,10,100.0
6,31,47,3.0,max_entropy,memoryless,10,100.0
5,32,47,3.0,max_entropy,memoryless,10,100.0
4,35,47,3.0,max_entropy,memoryless,10,100.0
4,37,47,3.0,max_entropy,memoryless,10,100.0
4,36,47,3.0,max_entropy,memoryless,10,100.0
4,34,47,3.0,max_entropy,memoryless,10,100.0
4,33,47,3.0,max_entropy,memoryless,10,100.0
3,38,47,3.0,max_entropy,memoryless,10,100.0
3,39,47,3.0,max_entropy,memoryless,10,100.0
3,40,47,3.0,max_entropy,memoryless,10,100.0
3,41,47,3.0,max_entropy,memoryless,10,100.0
2,42,47,3.0,max_entropy,memoryless,10,100.0
2,43,47,3.0,max_entropy,memoryless,10,100.0
2,44,47,3.0,max_entropy,memoryless,10,100.0
2,45,47,3.0,max_entropy,memoryless,10,100.0
1,46,47,3.0,max_entropy,memoryless,10,100.0
1,47,47,3.0,max_entropy,memoryless,10,100.0
100,1,5,3.0,min_entropy,memory,5,100.0
100,2,5,3.0,min_entropy,memory,5,100.0
100,3,5,3.0,min_entropy,memory,5,100.0
100,4,5,3.0,min_entropy,memory,5,100.0
100,5,5,3.0,min_entropy,memory,5,100.0
100,1,39,3.0,med_entropy,memory,5,100.0
91,2,39,3.0,med_entropy,memory,5,100.0
65,3,39,3.0,med_entropy,memory,5,100.0
55,4,39,3.0,med_entropy,memory,5,100.0
50,5,39,3.0,med_entropy,memory,5,100.0
48,6,39,3.0,med_entropy,memory,5,100.0
42,7,39,3.0,med_entropy,memory,5,100.0
28,8,39,3.0,med_entropy,memory,5,100.0
26,9,39,3.0,med_entropy,memory,5,100.0
23,10,39,3.0,med_entropy,memory,5,100.0
18,11,39,3.0,med_entropy,memory,5,100.0
15,12,39,3.0,med_entropy,memory,5,100.0
13,13,39,3.0,med_entropy,memory,5,100.0
10,14,39,3.0,med_entropy,memory,5,100.0
8,15,39,3.0,med_entropy,memory,5,100.0
7,16,39,3.0,med_entropy,memory,5,100.0
6,17,39,3.0,med_entropy,memory,5,100.0
6,18,39,3.0,med_entropy,memory,5,100.0
5,21,39,3.0,med_entropy,memory,5,100.0
5,20,39,3.0,med_entropy,memory,5,100.0
5,19,39,3.0,med_entropy,memory,5,100.0
4,23,39,3.0,med_entropy,memory,5,100.0
4,24,39,3.0,med_entropy,memory,5,100.0
4,25,39,3.0,med_entropy,memory,5,100.0
4,26,39,3.0,med_entropy,memory,5,100.0
4,27,39,3.0,med_entropy,memory,5,100.0
4,22,39,3.0,med_entropy,memory,5,100.0
3,28,39,3.0,med_entropy,memory,5,100.0
2,29,39,3.0,med_entropy,memory,5,100.0
1,35,39,3.0,med_entropy,memory,5,100.0
1,38,39,3.0,med_entropy,memory,5,100.0
1,37,39,3.0,med_entropy,memory,5,100.0
1,36,39,3.0,med_entropy,memory,5,100.0
1,30,39,3.0,med_entropy,memory,5,100.0
1,34,39,3.0,med_entropy,memory,5,100.0
1,33,39,3.0,med_entropy,memory,5,100.0
1,32,39,3.0,med_entropy,memory,5,100.0
1,31,39,3.0,med_entropy,memory,5,100.0
1,39,39,3.0,med_entropy,memory,5,100.0
100,1,37,3.0,max_entropy,memory,5,100.0
80,2,37,3.0,max_entropy,memory,5,100.0
73,3,37,3.0,max_entropy,memory,5,100.0
62,4,37,3.0,max_entropy,memory,5,100.0
56,5,37,3.0,max_entropy,memory,5,100.0
49,6,37,3.0,max_entropy,memory,5,100.0
37,7,37,3.0,max_entropy,memory,5,100.0
33,8,37,3.0,max_entropy,memory,5,100.0
30,9,37,3.0,max_entropy,memory,5,100.0
20,10,37,3.0,max_entropy,memory,5,100.0
17,11,37,3.0,max_entropy,memory,5,100.0
14,12,37,3.0,max_entropy,memory,5,100.0
11,13,37,3.0,max_entropy,memory,5,100.0
9,14,37,3.0,max_entropy,memory,5,100.0
9,15,37,3.0,max_entropy,memory,5,100.0
7,16,37,3.0,max_entropy,memory,5,100.0
6,17,37,3.0,max_entropy,memory,5,100.0
5,18,37,3.0,max_entropy,memory,5,100.0
4,19,37,3.0,max_entropy,memory,5,100.0
3,20,37,3.0,max_entropy,memory,5,100.0
3,21,37,3.0,max_entropy,memory,5,100.0
2,22,37,3.0,max_entropy,memory,5,100.0
1,30,37,3.0,max_entropy,memory,5,100.0
1,36,37,3.0,max_entropy,memory,5,100.0
1,35,37,3.0,max_entropy,memory,5,100.0
1,34,37,3.0,max_entropy,memory,5,100.0
1,33,37,3.0,max_entropy,memory,5,100.0
1,32,37,3.0,max_entropy,memory,5,100.0
1,31,37,3.0,max_entropy,memory,5,100.0
1,29,37,3.0,max_entropy,memory,5,100.0
1,28,37,3.0,max_entropy,memory,5,100.0
1,27,37,3.0,max_entropy,memory,5,100.0
1,26,37,3.0,max_entropy,memory,5,100.0
1,25,37,3.0,max_entropy,memory,5,100.0
1,24,37,3.0,max_entropy,memory,5,100.0
1,23,37,3.0,max_entropy,memory,5,100.0
1,37,37,3.0,max_entropy,memory,5,100.0
100,1,10,3.0,min_entropy,memory,10,100.0
100,2,10,3.0,min_entropy,memory,10,100.0
100,3,10,3.0,min_entropy,memory,10,100.0
100,4,10,3.0,min_entropy,memory,10,100.0
100,5,10,3.0,min_entropy,memory,10,100.0
100,6,10,3.0,min_entropy,memory,10,100.0
100,7,10,3.0,min_entropy,memory,10,100.0
