activity_no,event_no,trace_length,transitions,process_entropy,process_type,statespace_size,number_of_traces
46,5,30,5.0,max_entropy,memory,5,100.0
38,6,30,5.0,max_entropy,memory,5,100.0
32,7,30,5.0,max_entropy,memory,5,100.0
25,8,30,5.0,max_entropy,memory,5,100.0
21,9,30,5.0,max_entropy,memory,5,100.0
18,10,30,5.0,max_entropy,memory,5,100.0
15,11,30,5.0,max_entropy,memory,5,100.0
15,12,30,5.0,max_entropy,memory,5,100.0
13,13,30,5.0,max_entropy,memory,5,100.0
10,14,30,5.0,max_entropy,memory,5,100.0
8,15,30,5.0,max_entropy,memory,5,100.0
7,17,30,5.0,max_entropy,memory,5,100.0
7,16,30,5.0,max_entropy,memory,5,100.0
6,18,30,5.0,max_entropy,memory,5,100.0
5,19,30,5.0,max_entropy,memory,5,100.0
4,20,30,5.0,max_entropy,memory,5,100.0
3,21,30,5.0,max_entropy,memory,5,100.0
2,22,30,5.0,max_entropy,memory,5,100.0
2,23,30,5.0,max_entropy,memory,5,100.0
2,24,30,5.0,max_entropy,memory,5,100.0
2,25,30,5.0,max_entropy,memory,5,100.0
2,26,30,5.0,max_entropy,memory,5,100.0
2,27,30,5.0,max_entropy,memory,5,100.0
2,28,30,5.0,max_entropy,memory,5,100.0
2,29,30,5.0,max_entropy,memory,5,100.0
1,30,30,5.0,max_entropy,memory,5,100.0
100,1,10,5.0,min_entropy,memory,10,100.0
100,2,10,5.0,min_entropy,memory,10,100.0
100,3,10,5.0,min_entropy,memory,10,100.0
100,4,10,5.0,min_entropy,memory,10,100.0
100,5,10,5.0,min_entropy,memory,10,100.0
100,6,10,5.0,min_entropy,memory,10,100.0
100,7,10,5.0,min_entropy,memory,10,100.0
100,8,10,5.0,min_entropy,memory,10,100.0
100,9,10,5.0,min_entropy,memory,10,100.0
100,10,10,5.0,min_entropy,memory,10,100.0
100,1,33,5.0,med_entropy,memory,10,100.0
87,2,33,5.0,med_entropy,memory,10,100.0
82,3,33,5.0,med_entropy,memory,10,100.0
69,4,33,5.0,med_entropy,memory,10,100.0
58,5,33,5.0,med_entropy,memory,10,100.0
51,6,33,5.0,med_entropy,memory,10,100.0
40,7,33,5.0,med_entropy,memory,10,100.0
36,8,33,5.0,med_entropy,memory,10,100.0
26,9,33,5.0,med_entropy,memory,10,100.0
20,10,33,5.0,med_entropy,memory,10,100.0
17,11,33,5.0,med_entropy,memory,10,100.0
12,12,33,5.0,med_entropy,memory,10,100.0
11,13,33,5.0,med_entropy,memory,10,100.0
10,14,33,5.0,med_entropy,memory,10,100.0
8,15,33,5.0,med_entropy,memory,10,100.0
6,16,33,5.0,med_entropy,memory,10,100.0
5,19,33,5.0,med_entropy,memory,10,100.0
5,17,33,5.0,med_entropy,memory,10,100.0
5,18,33,5.0,med_entropy,memory,10,100.0
4,20,33,5.0,med_entropy,memory,10,100.0
3,21,33,5.0,med_entropy,memory,10,100.0
1,22,33,5.0,med_entropy,memory,10,100.0
1,23,33,5.0,med_entropy,memory,10,100.0
1,24,33,5.0,med_entropy,memory,10,100.0
1,25,33,5.0,med_entropy,memory,10,100.0
1,26,33,5.0,med_entropy,memory,10,100.0
1,27,33,5.0,med_entropy,memory,10,100.0
1,28,33,5.0,med_entropy,memory,10,100.0
1,29,33,5.0,med_entropy,memory,10,100.0
1,30,33,5.0,med_entropy,memory,10,100.0
1,31,33,5.0,med_entropy,memory,10,100.0
1,32,33,5.0,med_entropy,memory,10,100.0
1,33,33,5.0,med_entropy,memory,10,100.0
100,1,40,5.0,max_entropy,memory,10,100.0
89,2,40,5.0,max_entropy,memory,10,100.0
79,3,40,5.0,max_entropy,memory,10,100.0
70,4,40,5.0,max_entropy,memory,10,100.0
66,5,40,5.0,max_entropy,memory,10,100.0
62,6,40,5.0,max_entropy,memory,10,100.0
54,7,40,5.0,max_entropy,memory,10,100.0
49,8,40,5.0,max_entropy,memory,10,100.0
42,9,40,5.0,max_entropy,memory,10,100.0
40,10,40,5.0,max_entropy,memory,10,100.0
36,11,40,5.0,max_entropy,memory,10,100.0
35,12,40,5.0,max_entropy,memory,10,100.0
28,13,40,5.0,max_entropy,memory,10,100.0
26,14,40,5.0,max_entropy,memory,10,100.0
25,15,40,5.0,max_entropy,memory,10,100.0
21,16,40,5.0,max_entropy,memory,10,100.0
17,17,40,5.0,max_entropy,memory,10,100.0
14,18,40,5.0,max_entropy,memory,10,100.0
12,19,40,5.0,max_entropy,memory,10,100.0
10,20,40,5.0,max_entropy,memory,10,100.0
9,22,40,5.0,max_entropy,memory,10,100.0
9,21,40,5.0,max_entropy,memory,10,100.0
7,23,40,5.0,max_entropy,memory,10,100.0
7,24,40,5.0,max_entropy,memory,10,100.0
5,25,40,5.0,max_entropy,memory,10,100.0
5,26,40,5.0,max_entropy,memory,10,100.0
5,27,40,5.0,max_entropy,memory,10,100.0
4,31,40,5.0,max_entropy,memory,10,100.0
4,33,40,5.0,max_entropy,memory,10,100.0
4,32,40,5.0,max_entropy,memory,10,100.0
4,30,40,5.0,max_entropy,memory,10,100.0
4,29,40,5.0,max_entropy,memory,10,100.0
4,28,40,5.0,max_entropy,memory,10,100.0
3,34,40,5.0,max_entropy,memory,10,100.0
3,35,40,5.0,max_entropy,memory,10,100.0
3,36,40,5.0,max_entropy,memory,10,100.0
2,37,40,5.0,max_entropy,memory,10,100.0
2,38,40,5.0,max_entropy,memory,10,100.0
2,39,40,5.0,max_entropy,memory,10,100.0
1,40,40,5.0,max_entropy,memory,10,100.0
